created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-05-16T14:00:35Z,76469,24.70,36.50,35.69,70.10,33.70,16
2023-05-16T14:00:55Z,76470,25.70,37.40,35.75,70.60,33.70,16
2023-05-16T14:01:15Z,76471,25.00,35.60,35.75,70.10,33.80,14
2023-05-16T14:01:35Z,76472,25.60,35.10,35.69,70.20,33.80,16
2023-05-16T14:01:54Z,76473,26.10,35.30,35.69,70.20,34.00,14
2023-05-16T14:02:14Z,76474,25.60,33.30,35.69,70.30,33.80,15
2023-05-16T14:02:33Z,76475,25.10,37.40,35.75,69.90,33.90,16
2023-05-16T14:02:53Z,76476,24.70,35.60,35.69,69.90,34.10,15
2023-05-16T14:03:12Z,76477,24.70,33.40,35.69,69.70,33.90,16
2023-05-16T14:03:32Z,76478,25.50,35.60,35.75,69.90,33.90,17
2023-05-16T14:03:51Z,76479,26.60,36.80,35.69,69.60,33.70,14
2023-05-16T14:04:11Z,76480,26.30,34.80,35.69,69.70,33.80,16
2023-05-16T14:04:30Z,76481,25.40,35.70,35.75,69.80,33.70,16
2023-05-16T14:04:50Z,76482,25.50,35.20,35.69,69.70,33.90,14
2023-05-16T14:05:09Z,76483,25.70,34.10,35.63,69.60,33.90,16
2023-05-16T14:05:29Z,76484,25.20,34.20,35.69,70.00,33.90,16
2023-05-16T14:05:49Z,76485,25.40,36.20,35.63,69.60,33.70,16
2023-05-16T14:06:08Z,76486,24.40,32.50,35.63,69.60,33.90,14
2023-05-16T14:06:28Z,76487,24.10,33.40,35.69,69.30,33.80,16
2023-05-16T14:06:47Z,76488,24.40,34.90,35.69,69.60,33.70,15
2023-05-16T14:07:07Z,76489,24.20,31.30,35.69,69.60,33.70,16
2023-05-16T14:07:26Z,76490,25.30,35.10,35.63,69.60,33.90,15
2023-05-16T14:07:46Z,76491,26.20,35.70,35.63,69.10,34.10,16
2023-05-16T14:08:05Z,76492,25.20,32.20,35.63,69.80,33.70,14
2023-05-16T14:08:25Z,76493,24.60,32.60,35.63,69.00,33.80,16
2023-05-16T14:08:45Z,76494,25.30,36.00,35.63,69.70,33.70,16
2023-05-16T14:09:04Z,76495,24.90,34.00,35.63,69.70,33.70,16
2023-05-16T14:09:25Z,76496,24.70,32.60,35.63,69.70,33.90,14
2023-05-16T14:10:05Z,76497,24.70,34.30,35.63,69.50,33.90,15
2023-05-16T14:10:24Z,76498,25.50,33.80,35.63,69.80,33.60,15
2023-05-16T14:10:44Z,76499,24.90,36.70,35.69,69.70,33.80,15
2023-05-16T14:11:04Z,76500,23.20,36.20,35.63,69.10,33.90,18
2023-05-16T14:11:25Z,76501,23.50,34.20,35.63,69.40,33.70,15
2023-05-16T14:11:44Z,76502,24.20,31.40,35.63,69.30,33.80,15
2023-05-16T14:12:04Z,76503,24.30,32.60,35.56,69.30,33.90,16
2023-05-16T14:12:23Z,76504,24.20,32.70,35.56,69.20,33.90,16
2023-05-16T14:12:43Z,76505,23.80,33.00,35.56,69.30,33.80,15
2023-05-16T14:13:03Z,76506,24.20,34.20,35.63,69.00,33.90,14
2023-05-16T14:13:22Z,76507,23.30,32.50,35.56,69.20,33.80,14
2023-05-16T14:13:42Z,76508,23.70,34.40,35.56,69.00,33.70,15
2023-05-16T14:14:01Z,76509,24.50,37.10,35.63,68.70,33.80,16
2023-05-16T14:14:21Z,76510,25.20,35.30,35.56,69.00,33.70,16
2023-05-16T14:14:40Z,76511,24.50,34.30,35.50,69.30,33.70,15
2023-05-16T14:15:00Z,76512,23.10,32.80,35.56,69.30,33.60,16
2023-05-16T14:15:20Z,76513,23.70,32.90,35.56,69.20,33.70,16
2023-05-16T14:15:39Z,76514,23.50,32.00,35.56,69.10,33.70,15
2023-05-16T14:15:59Z,76515,24.20,33.40,35.56,68.90,33.80,14
2023-05-16T14:16:18Z,76516,24.60,32.80,35.56,69.00,33.70,16
2023-05-16T14:16:38Z,76517,24.70,35.00,35.56,68.60,33.90,15
2023-05-16T14:16:59Z,76518,24.20,34.10,35.56,68.80,33.70,16
2023-05-16T14:17:19Z,76519,23.70,31.40,35.56,69.00,33.60,15
2023-05-16T14:17:59Z,76520,24.00,32.30,35.56,68.70,33.40,14
2023-05-16T14:18:19Z,76521,24.00,33.80,35.50,68.60,33.70,16
2023-05-16T14:18:59Z,76522,23.00,32.60,35.56,68.90,33.80,15
2023-05-16T14:19:18Z,76523,23.40,33.50,35.50,69.20,33.70,14
2023-05-16T14:19:39Z,76524,24.50,32.90,35.50,69.20,33.70,15
2023-05-16T14:19:59Z,76525,23.70,31.30,35.50,68.20,33.60,16
2023-05-16T14:20:19Z,76526,24.50,32.40,35.50,68.80,33.60,16
2023-05-16T14:20:39Z,76527,24.10,33.60,35.50,68.50,33.80,16
2023-05-16T14:20:59Z,76528,23.60,35.00,35.50,69.00,33.60,16
2023-05-16T14:21:18Z,76529,23.60,31.60,35.50,68.80,33.60,17
2023-05-16T14:21:38Z,76530,23.90,32.60,35.50,68.80,33.50,16
2023-05-16T14:21:58Z,76531,24.90,33.40,35.50,69.20,33.60,15
2023-05-16T14:22:37Z,76532,24.00,34.00,35.50,68.90,33.80,16
2023-05-16T14:22:57Z,76533,24.40,33.70,35.50,69.00,33.80,16
2023-05-16T14:23:17Z,76534,23.80,32.40,35.50,68.80,33.60,17
2023-05-16T14:23:37Z,76535,22.60,32.60,35.50,69.20,33.80,16
2023-05-16T14:23:56Z,76536,23.40,31.20,35.50,68.70,33.80,16
2023-05-16T14:24:16Z,76537,23.90,32.60,35.50,69.00,33.80,14
2023-05-16T14:24:35Z,76538,24.00,32.70,35.50,68.50,33.80,15
2023-05-16T14:24:55Z,76539,24.10,32.90,35.50,68.60,33.60,16
2023-05-16T14:25:14Z,76540,23.10,34.80,35.50,68.60,33.40,16
2023-05-16T14:25:34Z,76541,23.60,32.10,35.50,69.40,33.40,15
2023-05-16T14:25:54Z,76542,23.90,34.90,35.50,69.00,33.60,16
2023-05-16T14:26:13Z,76543,24.20,36.50,35.50,68.80,33.60,16
2023-05-16T14:26:33Z,76544,24.60,39.00,35.50,69.20,33.60,16
2023-05-16T14:26:52Z,76545,25.10,37.00,35.50,69.30,33.50,16
2023-05-16T14:27:12Z,76546,24.30,36.10,35.50,69.00,33.60,17
2023-05-16T14:27:31Z,76547,23.40,31.30,35.50,69.00,33.70,16
2023-05-16T14:27:52Z,76548,23.60,33.00,35.50,69.00,33.70,16
2023-05-16T14:28:11Z,76549,23.50,33.40,35.50,68.90,33.60,16
2023-05-16T14:28:31Z,76550,24.30,34.40,35.50,69.00,33.50,15
2023-05-16T14:28:52Z,76551,24.70,32.00,35.50,69.00,33.60,15
2023-05-16T14:29:13Z,76552,24.60,35.90,35.50,69.00,33.70,16
2023-05-16T14:29:32Z,76553,25.00,37.70,35.44,69.00,33.80,15
2023-05-16T14:29:52Z,76554,23.90,34.20,35.44,68.80,33.50,15
2023-05-16T14:30:11Z,76555,23.70,36.70,35.44,68.60,33.70,15
2023-05-16T14:30:31Z,76556,24.40,35.60,35.44,68.80,33.50,16
2023-05-16T14:30:50Z,76557,24.40,35.70,35.44,68.80,33.60,15
2023-05-16T14:31:10Z,76558,23.70,34.00,35.44,69.00,33.50,14
2023-05-16T14:31:29Z,76559,23.10,33.40,35.44,69.00,33.70,15
2023-05-16T14:31:49Z,76560,23.10,32.00,35.44,68.90,33.40,16
2023-05-16T14:32:10Z,76561,24.10,32.10,35.50,69.10,33.50,16
2023-05-16T14:32:29Z,76562,24.60,33.30,35.44,68.60,33.70,16
2023-05-16T14:32:49Z,76563,24.70,33.40,35.44,68.70,33.60,16
2023-05-16T14:33:08Z,76564,23.50,33.70,35.44,68.70,33.50,14
2023-06-16T18:13:57Z,180626,10.30,17.50,38.44,75.80,34.80,16
2023-06-16T18:14:17Z,180627,10.70,18.20,38.44,75.80,34.90,16
2023-06-16T18:14:36Z,180628,11.70,19.70,38.44,75.90,34.90,16
2023-06-16T18:14:56Z,180629,11.30,18.10,38.44,75.80,34.80,15
2023-06-16T18:15:15Z,180630,11.90,20.50,38.44,75.90,34.70,16
2023-06-16T18:15:35Z,180631,10.70,17.30,38.50,75.50,34.80,16
2023-06-16T18:15:54Z,180632,10.40,17.40,38.50,75.70,34.70,15
2023-06-16T18:16:13Z,180633,10.60,18.40,38.44,75.90,34.90,14
2023-06-16T18:16:33Z,180634,10.90,18.70,38.50,75.80,34.60,14
2023-06-16T18:16:52Z,180635,10.60,14.80,38.50,75.80,34.70,17
2023-06-16T18:17:11Z,180636,10.80,16.50,38.50,75.90,34.70,17
2023-06-16T18:17:31Z,180637,11.20,17.40,38.50,75.70,34.90,16
2023-06-16T18:17:51Z,180638,10.70,17.30,38.50,75.40,34.90,16
2023-06-16T18:18:10Z,180639,10.60,17.00,38.50,75.40,34.90,16
2023-06-16T18:18:30Z,180640,10.60,16.00,38.50,75.60,34.70,17
2023-06-16T18:18:49Z,180641,11.30,17.40,38.50,75.50,34.90,14
2023-06-16T18:19:08Z,180642,11.70,18.20,38.50,75.70,34.70,15
2023-06-16T18:19:28Z,180643,11.00,17.30,38.50,75.80,34.70,15
2023-06-16T18:19:47Z,180644,11.30,16.70,38.50,75.50,34.90,15
2023-06-16T18:20:06Z,180645,11.50,17.40,38.50,75.50,34.70,17
2023-06-16T18:20:26Z,180646,10.80,20.10,38.44,75.40,34.90,13
2023-06-16T18:20:45Z,180647,11.20,16.30,38.44,76.00,34.80,15
2023-06-16T18:21:04Z,180648,11.40,16.80,38.44,75.70,34.60,17
2023-06-16T18:21:24Z,180649,11.00,14.70,38.44,75.50,34.80,15
2023-06-16T18:21:43Z,180650,10.40,16.40,38.44,76.00,34.60,16
2023-06-16T18:22:03Z,180651,10.70,17.20,38.50,75.70,34.70,14
2023-06-16T18:22:22Z,180652,10.80,17.40,38.50,76.00,34.70,18
2023-06-16T18:22:41Z,180653,11.20,18.20,38.50,75.60,34.70,16
2023-06-16T18:23:01Z,180654,11.70,18.80,38.50,76.10,34.80,15
2023-06-16T18:23:20Z,180655,11.60,19.00,38.44,75.70,34.70,18
2023-06-16T18:23:39Z,180656,11.20,18.70,38.44,75.60,34.90,16
2023-06-16T18:23:59Z,180657,11.20,17.40,38.50,75.70,34.70,16
2023-06-16T18:24:18Z,180658,11.00,18.30,38.44,75.80,34.60,14
2023-06-16T18:24:38Z,180659,10.80,18.20,38.50,75.70,34.70,17
2023-06-16T18:24:57Z,180660,11.40,23.60,38.44,76.10,34.60,14
2023-06-16T18:25:16Z,180661,10.90,19.50,38.44,76.20,34.60,16
2023-06-16T18:25:36Z,180662,10.90,15.40,38.50,76.20,34.60,18
2023-06-16T18:25:55Z,180663,11.20,15.80,38.44,75.60,34.80,16
2023-06-16T18:26:15Z,180664,11.00,16.10,38.50,76.20,34.70,15
2023-06-16T18:26:34Z,180665,10.10,18.50,38.50,75.90,34.70,14
2023-06-16T18:26:54Z,180666,10.90,17.90,38.50,76.20,34.70,16
2023-06-16T18:27:13Z,180667,11.50,18.40,38.50,76.00,34.90,15
2023-06-16T18:27:32Z,180668,11.20,16.80,38.50,75.80,34.70,16
2023-06-16T18:27:52Z,180669,11.70,18.00,38.50,76.20,34.70,16
2023-06-16T18:28:11Z,180670,11.10,16.80,38.50,73.50,34.90,15
2023-06-16T18:28:31Z,180671,11.10,18.10,38.56,75.70,34.80,16
2023-06-16T18:28:50Z,180672,11.10,18.60,38.56,75.70,34.70,18
2023-06-16T18:29:09Z,180673,11.40,20.70,38.50,75.10,34.70,16
2023-06-16T18:29:29Z,180674,11.20,19.20,38.56,75.70,34.90,18
2023-06-16T18:29:48Z,180675,11.00,18.20,38.56,,,
2023-06-16T18:30:08Z,180676,11.00,17.20,38.56,76.00,34.90,15
2023-06-16T18:30:27Z,180677,10.90,16.80,38.56,75.40,34.80,17
2023-06-16T18:30:47Z,180678,11.00,19.70,38.56,75.50,34.90,16
2023-06-16T18:31:06Z,180679,10.80,18.40,38.56,75.70,34.90,16
2023-06-16T18:31:26Z,180680,10.90,18.00,38.50,75.50,34.90,14
2023-06-16T18:31:45Z,180681,11.50,18.10,38.56,75.60,35.00,14
2023-06-16T18:32:04Z,180682,11.90,19.80,38.56,75.70,34.80,13
2023-06-16T18:32:24Z,180683,10.90,18.40,38.56,75.70,34.80,17
2023-06-16T18:32:43Z,180684,11.20,18.30,38.56,76.00,34.90,15
2023-06-16T18:33:03Z,180685,10.40,19.10,38.56,76.00,34.90,16
2023-06-16T18:33:22Z,180686,10.90,19.80,38.50,75.80,34.90,16
2023-06-16T18:33:41Z,180687,10.80,19.30,38.50,76.00,34.90,18
2023-06-16T18:34:01Z,180688,11.10,18.30,38.56,75.90,34.60,16
2023-06-16T18:34:20Z,180689,10.70,17.70,38.63,75.70,34.90,16
2023-06-16T18:34:40Z,180690,10.50,16.50,38.63,75.60,34.80,15
2023-06-16T18:34:59Z,180691,10.50,17.50,38.63,75.80,34.90,17
2023-06-16T18:35:18Z,180692,10.80,19.40,38.69,75.80,34.90,16
2023-06-16T18:35:38Z,180693,11.00,18.10,38.69,75.00,35.10,16
2023-06-16T18:35:57Z,180694,11.30,17.70,38.69,75.00,35.50,15
2023-06-16T18:36:17Z,180695,11.10,18.50,38.75,74.30,35.40,14
2023-06-16T18:36:36Z,180696,11.60,19.00,38.75,74.10,35.70,15
2023-06-16T18:36:55Z,180697,11.10,17.30,38.75,73.70,35.60,16
2023-06-16T18:37:15Z,180698,11.10,20.70,38.81,72.80,35.80,16
2023-06-16T18:37:34Z,180699,11.70,20.80,38.81,73.00,35.70,14
2023-06-16T18:37:54Z,180700,11.80,20.10,38.81,72.40,36.00,17
2023-06-16T18:38:13Z,180701,11.50,21.10,38.88,72.00,36.00,16
2023-06-16T18:38:32Z,180702,12.00,21.80,38.81,71.80,36.10,14
